node_id,x,y,demand,is_transshipment,is_depot,ready_time,due_time,service_time,order_id,is_dynamic,dynamic_appear_time,transfer_capacity
0,12.94861955670622,21.97531188607863,0,0,1,0,480,0,-1,0.0,-1.0,
1,74.73430084435303,27.46163978346141,0,1,0,0,480,9,-1,0.0,-1.0,24.0
2,98.15420751573521,54.05700666209088,0,1,0,0,480,8,-1,0.0,-1.0,21.0
3,19.200797041008823,85.88084545127332,0,1,0,0,480,8,-1,0.0,-1.0,24.0
4,31.947554589723516,28.880735506437784,0,1,0,0,480,7,-1,0.0,-1.0,23.0
80,41.60598647953117,46.844506288676946,-2,0,0,266,351,5,1,,,
5,32.744123345149845,76.81972482230377,2,0,0,80,186,18,1,,,
50,68.51219721505299,81.87251375359646,-4,0,0,99,163,7,2,,,
7,3.0832772784410434,82.66266173496078,4,0,0,177,245,8,2,,,
77,82.18413938586944,79.4160975970732,-4,0,0,198,337,13,3,,,
8,34.07187663070053,24.817291980837442,4,0,0,261,422,18,3,,,
42,74.59165947554102,28.245567885821554,-3,0,0,62,222,15,4,,,
10,81.28960371829432,34.77849454990679,3,0,0,320,431,14,4,,,
89,98.12074187185617,4.079284826061769,-4,0,0,320,479,12,5,,,
12,10.114226754522493,84.63074827157793,4,0,0,95,251,12,5,,,
11,81.23008501490696,46.48810003714582,-4,0,0,13,177,17,6,,,
13,54.763478210461436,60.24695719473855,4,0,0,24,89,5,6,,,
9,57.98932423754992,70.49918837513754,-4,0,0,86,178,18,7,,,
15,0.5583530677989001,87.06158410031026,4,0,0,55,176,16,7,,,
94,49.379167760106505,0.08817269081207169,-2,0,0,28,191,11,8,,,
16,28.475108032345997,50.17669207840038,2,0,0,171,268,5,8,,,
25,12.54152522718297,96.74541207172767,-3,0,0,298,384,12,9,,,
20,34.082202218634514,56.8340038326041,3,0,0,235,411,8,9,,,
32,76.0584804976167,12.70258971371404,-3,0,0,84,156,14,10,,,
21,77.75878933731363,71.51231927693746,3,0,0,258,401,8,10,,,
92,23.15677122664973,74.91741112950245,-4,0,0,103,184,14,11,,,
22,53.98434359818509,38.33835107273551,4,0,0,65,213,12,11,,,
64,60.47365098467405,2.6439883073913095,-3,0,0,87,151,9,12,,,
23,40.75019812330175,43.31352119962656,3,0,0,270,444,17,12,,,
83,25.5028202084723,39.841166181514964,-3,0,0,74,222,19,13,,,
27,4.254756927063563,71.13031723789261,3,0,0,101,264,8,13,,,
69,93.18192682561138,97.43237495815588,-3,0,0,308,479,9,14,,,
29,25.3705557575165,8.27250902042238,3,0,0,330,447,8,14,,,
24,34.88455289461518,69.9075634889698,-3,0,0,314,403,10,15,,,
30,91.51347577184326,25.86490346127752,3,0,0,323,460,15,15,,,
88,54.31934078103361,62.51852187612016,-3,0,0,67,129,12,16,,,
31,72.15314473238818,6.065963782767792,3,0,0,56,152,10,16,,,
72,94.83213199987064,76.10199623959116,-3,0,0,296,394,17,17,,,
35,29.204874580005814,6.95089173342438,3,0,0,105,272,14,17,,,
26,77.89855019715401,29.816305216677385,-2,0,0,266,379,10,18,,,
38,48.90322573130509,39.87036551758154,2,0,0,165,244,14,18,,,
18,68.66488480670338,42.957335103791394,-3,0,0,127,262,11,19,,,
39,31.575186813902324,77.21889554985944,3,0,0,220,293,6,19,,,
17,20.488660256142023,29.698356845497344,-4,0,0,122,236,7,20,,,
40,6.127603983344477,64.66857273622017,4,0,0,105,270,11,20,,,
33,69.55863480416035,53.234304785340484,-3,0,0,265,329,13,21,,,
43,60.05074605237034,14.140361091435526,3,0,0,21,155,17,21,,,
28,73.43590449698331,96.36226105275766,-3,0,0,243,333,15,22,,,
44,11.7060623744776,63.86241421385146,3,0,0,211,305,11,22,,,
79,90.66129944146003,34.11026637218385,-3,0,0,252,315,7,23,,,
45,85.11076545842027,6.724812569961891,3,0,0,349,438,18,23,,,
58,69.25502368087977,59.05529010342235,-3,0,0,180,346,18,24,,,
46,10.600373213329872,56.5607307429357,3,0,0,329,402,8,24,,,
68,34.1145346808992,73.1582711858835,-3,0,0,86,171,10,25,,,
47,21.82118610193402,61.18181227776478,3,0,0,356,530,9,25,,,
49,54.557498216482735,86.21951380326188,-2,0,0,358,521,19,26,,,
48,21.454382525533987,11.648197430605943,2,0,0,214,373,17,26,,,
51,26.633517439004827,88.59786512970257,-4,0,0,94,254,14,27,,,
53,47.11755901487261,26.78576473604962,4,0,0,51,128,16,27,,,
52,37.70391745762707,85.24476678569935,-4,0,0,174,266,12,28,,,
55,7.901027020684581,93.00561945885086,4,0,0,131,231,7,28,,,
67,26.00937135077649,32.238982137347506,-2,0,0,6,164,19,29,,,
56,27.146349569853566,33.56248178458553,2,0,0,281,448,11,29,,,
14,93.74912696947354,55.91514849392553,-2,0,0,353,468,11,30,,,
57,23.330155374123272,0.300796056072139,2,0,0,202,312,12,30,,,
37,53.4969612357899,13.145789211630976,-4,0,0,287,380,6,31,,,
60,92.86556447333203,33.088694006036555,4,0,0,206,320,15,31,,,
36,87.9197635239719,59.39011536611078,-4,0,0,249,327,17,32,,,
