node_id,x,y,demand,is_transshipment,is_depot,ready_time,due_time,service_time,transfer_capacity,is_dynamic,dynamic_appear_time
0,54.24123928293626,79.4888329801248,0,0,1,0,480,0,,,
1,19.47036822861923,98.20755099674587,0,1,0,0,480,5,12.0,,
2,43.745822729717055,94.98432648055952,0,1,0,0,480,10,19.0,,
3,38.31158644968327,60.178666885163565,0,1,0,0,480,7,13.0,,
4,45.031147132313606,67.59351638519703,0,1,0,0,480,10,14.0,,
5,18.36247293841865,40.062853284048494,0,1,0,0,480,13,22.0,,
6,6.838112210743141,59.81014169900135,1,0,0,48,122,17,,1.0,-1.0
7,96.26816985891227,4.590651515738575,2,0,0,117,224,8,,1.0,-1.0
8,65.96300245015665,77.50979636376597,2,0,0,129,265,10,,0.0,96.0
9,21.31084241776289,27.307429336854703,-1,0,0,287,451,9,,1.0,-1.0
10,20.158108624003535,29.741263667630747,-3,0,0,32,122,8,,1.0,-1.0
11,11.008255919337417,37.034787128542234,-3,0,0,176,279,18,,1.0,-1.0
12,36.89291953143948,80.72674566054089,3,0,0,90,175,15,,1.0,-1.0
13,80.09583156007184,79.67233633093647,-2,0,0,224,298,6,,0.0,-1.0
14,56.70359132189303,32.588068686633456,1,0,0,79,248,8,,1.0,-1.0
15,41.09645164004338,31.77435047620818,1,0,0,281,436,17,,0.0,-1.0
16,58.192790498072135,93.79791213136663,2,0,0,50,122,13,,0.0,-1.0
17,28.449678405571422,45.88518176461297,2,0,0,273,425,19,,0.0,-1.0
18,65.511693013934,84.46949117955828,2,0,0,160,301,19,,0.0,51.0
19,25.333392064096483,28.028995098039054,-3,0,0,121,181,10,,0.0,266.0
20,88.51655322559363,8.025811998580302,3,0,0,188,361,19,,0.0,214.0
21,60.54476059672126,86.04554160959871,-1,0,0,228,382,7,,0.0,-1.0
22,92.17427503515333,1.268725423286876,2,0,0,10,133,16,,1.0,-1.0
23,36.966597749418426,25.726478612104664,1,0,0,41,175,18,,0.0,-1.0
24,56.80325887747232,63.28622768136293,2,0,0,299,473,7,,0.0,-1.0
25,99.97744776055288,51.27624968989256,1,0,0,148,299,13,,0.0,320.0
26,55.146687873726975,41.43135078056419,1,0,0,51,220,18,,0.0,-1.0
27,14.767723783857567,30.332464028059846,2,0,0,264,376,8,,1.0,-1.0
28,24.698491771103182,80.1219691348342,-1,0,0,81,249,11,,0.0,384.0
29,54.581642155231236,29.619363021534205,2,0,0,4,93,10,,1.0,56.0
30,48.909290289350324,21.88648830954155,-1,0,0,116,183,12,,0.0,-1.0
31,18.512715057321792,85.99422372418859,1,0,0,178,303,16,,1.0,-1.0
32,94.48108544661389,8.00146078269879,3,0,0,189,318,11,,1.0,-1.0
33,76.48827071864204,45.331153642729014,3,0,0,184,275,18,,0.0,59.0
34,38.89716413082533,68.94113095478211,2,0,0,30,126,17,,0.0,-1.0
35,26.625368533436568,2.0581226283587384,1,0,0,121,241,7,,0.0,-1.0
36,21.4002847820015,18.49250767091689,1,0,0,112,237,14,,1.0,-1.0
37,3.404938155356252,32.13154160263213,-3,0,0,178,352,17,,1.0,192.0
38,47.45185335141399,73.58286970505785,1,0,0,186,284,7,,0.0,-1.0
39,32.566132549259684,19.454026565774342,2,0,0,301,412,16,,1.0,380.0
40,23.06197692536054,89.11770791617145,-1,0,0,255,395,12,,0.0,-1.0
41,20.47204064173688,87.92406675165103,-2,0,0,67,188,13,,1.0,-1.0
42,44.70989954877954,93.44004323485264,-2,0,0,141,215,10,,0.0,-1.0
43,40.80921363046986,17.768293380581735,-2,0,0,173,295,16,,0.0,138.0
44,54.902992921133766,58.770660284906775,2,0,0,257,336,11,,1.0,-1.0
45,63.54893032732697,41.14967184695272,2,0,0,28,170,7,,1.0,257.0
46,4.8601340794495185,62.671992294951195,-1,0,0,67,129,17,,0.0,-1.0
